Name,Rating,Reviews,Jobs,Interviews,Salaries
Niva Bupa Health Insurance Company,3.6,2.3k,6,154,7.9k
Info Edge,3.9,2.3k,417,362,10.8k
3i Infotech,3.4,2.2k,33,157,10.6k
Cybage,3.8,2.2k,12,212,17.3k
Hero FinCorp,3.9,2.2k,27,106,5.3k
Aditya Birla Group,4.1,2.2k,5,223,9.8k
Akums Drugs & Pharmaceuticals Limited,4.3,2.2k,19,323,6k
Lifestyle,4.3,2.2k,15,78,6.8k
Delhi Public School,3.8,2.2k,198,148,5.2k
Syngene International,3.9,2.2k,47,183,12.3k
Photon Interactive,4.1,2.2k,1.7k,123,7k
Physicswallah,3.6,2.2k,40,244,7.4k
Cadila Pharmaceuticals,3.3,2.2k,88,149,7.6k
Aditya Birla Capital,3.8,2.2k,--,190,9.2k
Bureau Veritas,3.8,2.2k,18,135,8k
Eureka Forbes,3.6,2.2k,8,85,5.3k
Adani Group,3.8,2.2k,196,261,10.4k
Xoriant,4.1,2.2k,51,221,11.3k
Unacademy,2.9,2.2k,21,227,10.2k
Sopra Steria,3.9,2.2k,182,173,13.8k
Aavas Financiers,3.9,2.2k,57,107,5.6k
Lava International,3.9,2.2k,3,79,4.1k
Straive,3.3,2.2k,78,215,9.6k
Myntra,3.9,2.1k,56,236,10k
Sobha,3.8,2.1k,47,159,8.1k
Kia India,4.0,2.1k,94,166,7.9k
Tata Electronics,3.9,2.1k,34,223,9.2k
Foxconn,3.8,2.1k,13,205,9.5k
Radisson Hotels,4.0,2.1k,231,95,5.2k
GVK Emergency Management and Research Institute,3.6,2.1k,22,104,4.4k
Huawei Technologies,4.0,2.1k,3,117,8.2k
RMSI,3.6,2.1k,20,181,8.3k
GlaxoSmithKline Pharmaceuticals,4.0,2.1k,45,123,5.5k
Nokia Networks,4.1,2.1k,--,123,10.6k
Team Computers,3.7,2.1k,168,194,8.2k
Endurance Technologies,3.9,2.1k,13,128,7.6k
Whirlpool,3.9,2.1k,13,112,7.7k
Cisco,4.1,2.1k,124,398,18.3k
Panasonic Life Solutions India,4.0,2.1k,10,90,6.6k
SBI Securities,3.7,2.1k,91,172,6.5k
TaskUs,3.1,2.1k,706,204,8.5k
Lodha Group,4.0,2.1k,158,155,8.3k
Apollo Pharmacy,3.7,2.1k,23,167,6.4k
Indian Railways,4.1,2.1k,--,108,3.4k
TCE,3.8,2.1k,61,282,8.9k
Star Union Dai-ichi Life Insurance,3.9,2.1k,37,125,5.2k
Ola Cabs,3.3,2.1k,17,150,9.2k
Simplex Infrastructures,3.4,2.1k,--,77,4.7k
Bharti AXA Life Insurance,3.6,2.1k,132,139,5k
Renault Nissan Technology & Business Centre India,3.8,2.1k,67,148,13.9k
Adani Wilmar,4.1,2.1k,94,127,6.4k
Shahi Exports,4.0,2k,28,121,6.6k
SBI General Insurance,3.6,2k,60,121,6.2k
ValueLabs,3.5,2k,78,204,15.3k
Bank of Baroda,3.5,2k,--,109,6.6k
Henry Harvin Education,3.7,2k,40,52,855
